"w1","x1","x2","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
"0","0","1","1.96E-9","2.383E-9","2.85E-9","3.776E-9","5.72E-9","7.477E-9","9.28E-9"
"0","0","1","1.96E-9","2.383E-9","2.85E-9","3.776E-9","5.72E-9","7.477E-9","9.28E-9"
"0","0","1","1.96E-9","2.383E-9","2.85E-9","3.776E-9","5.72E-9","7.477E-9","9.28E-9"
"0.05","0.0094743199905287","0.99052568000947","4.0757580514141E-9","5.7546841656589E-9","7.4094083620463E-9","9.6224764693619E-9","1.2391012790432E-8","1.5827772849662E-8","2.3165098057521E-8"
"0.05","0.0094743199905287","0.99052568000947","4.0779589607619E-9","5.7960027979683E-9","7.5415922072252E-9","9.6964733134113E-9","1.2471678283698E-8","1.5930811650913E-8","2.3336519783146E-8"
"0.05","0.0094743199905287","0.99052568000947","4.11E-9","5.8871739219804E-9","7.609315705246E-9","9.5059376128028E-9","1.2314160986975E-8","1.5729605499762E-8","2.3745842340143E-8"
"0.1","0.019792981051067","0.98020701894893","8.8094765039327E-9","1.0554879564329E-8","1.5771110861997E-8","2.0450886263031E-8","2.6296612672799E-8","3.3542909668952E-8","4.6462963354714E-8"
"0.1","0.019792981051067","0.98020701894893","8.7117794095041E-9","1.0649556834021E-8","1.5460419978016E-8","2.0834340380463E-8","2.5810651270606E-8","3.292303669827E-8","4.7231925398234E-8"
"0.1","0.019792981051067","0.98020701894893","8.5957385077695E-9","1.0470537783641E-8","1.5220938072556E-8","2.0750586332133E-8","2.586253067966E-8","3.2989212002033E-8","4.7986219246844E-8"
"0.15","0.031074117307549","0.96892588269245","1.665770013835E-8","2.3610853058171E-8","3.1613175731056E-8","4.1922122381176E-8","5.5085921950974E-8","7.17547648163E-8","9.36999475914E-8"
"0.15","0.031074117307549","0.96892588269245","1.649278890698E-8","2.3595269895153E-8","3.128250191291E-8","4.1639148055104E-8","5.5018166266974E-8","7.1666506455576E-8","9.2288826380674E-8"
"0.15","0.031074117307549","0.96892588269245","1.6648315906373E-8","2.3832638310298E-8","3.140794474558E-8","4.1093675215582E-8","5.4182990503042E-8","7.0578608887581E-8","9.1640958819482E-8"
"0.2","0.043458978931781","0.95654102106822","3.8388379555136E-8","5.2480347924548E-8","7.105387087168E-8","9.186088721537E-8","1.1777517798269E-7","1.6980645635892E-7","2.1911037927996E-7"
"0.2","0.043458978931781","0.95654102106822","3.7801037347942E-8","5.2889694638359E-8","7.14467987776E-8","9.1157232819301E-8","1.1769744636522E-7","1.6969438409772E-7","2.2273665605704E-7"
"0.2","0.043458978931781","0.95654102106822","3.8523793182035E-8","5.2008023428738E-8","7.0164328739543E-8","9.1301261247155E-8","1.1562714828366E-7","1.6670945988144E-7","2.2392161506727E-7"
"0.25","0.057117877037442","0.94288212296256","8.6524817096915E-8","9.9802701382695E-8","1.4772204511209E-7","2.0643495641154E-7","2.6784328963099E-7","3.6464080172358E-7","4.5995940855444E-7"
"0.25","0.057117877037442","0.94288212296256","8.4853157630602E-8","1.0165304346633E-7","1.4726853843359E-7","2.0652785214193E-7","2.6265784354374E-7","3.5758135580221E-7","4.6670701307794E-7"
"0.25","0.057117877037442","0.94288212296256","8.3694063497368E-8","1.0227007744017E-7","1.4754687597123E-7","2.0749646776847E-7","2.6384768357499E-7","3.5920119934399E-7","4.7283954322978E-7"
"0.3","0.072258062721992","0.92774193727801","1.6838956859072E-7","2.2755109973382E-7","3.2785886183117E-7","4.4837254243642E-7","5.7318867394182E-7","7.5702643249682E-7","9.5520313314236E-7"
"0.3","0.072258062721992","0.92774193727801","1.6521879301415E-7","2.3174259099092E-7","3.3251445766917E-7","4.4994184633495E-7","5.8233103329119E-7","7.6910100409514E-7","9.510193434192E-7"
"0.3","0.072258062721992","0.92774193727801","1.670742000597E-7","2.3228486865384E-7","3.3600918461927E-7","4.4223434250723E-7","5.8855032872674E-7","7.7731500281888E-7","9.4139502766379E-7"
"0.35","0.089134316488777","0.91086568351122","4.4245767016722E-7","6.087830436648E-7","8.0326982079344E-7","1.0338232929428E-6","1.5196992113685E-6","1.9715436704077E-6","2.3018834213582E-6"
"0.35","0.089134316488777","0.91086568351122","4.4119666580724E-7","6.0029052020568E-7","7.9546203813533E-7","1.0408016001701E-6","1.5485582993924E-6","2.0089832847088E-6","2.3238126169952E-6"
"0.35","0.089134316488777","0.91086568351122","4.4360559960255E-7","5.9741512861389E-7","7.9702909835046E-7","1.033734557305E-6","1.5370060544789E-6","1.9939962694048E-6","2.3632238101475E-6"
"0.4","0.10806340196897","0.89193659803103","9.8897248984971E-7","1.2371826453935E-6","1.7627700265843E-6","2.3938152300029E-6","3.0513146812046E-6","3.959381299796E-6","5.2458369946609E-6"
"0.4","0.10806340196897","0.89193659803103","9.9487665561411E-7","1.2492204325332E-6","1.7844873533118E-6","2.3717681917346E-6","3.0086267888145E-6","3.9039895554119E-6","5.2587530455175E-6"
"0.4","0.10806340196897","0.89193659803103","1.0045070616405E-6","1.248370962639E-6","1.8030638666598E-6","2.3581779599959E-6","3.0145838698564E-6","3.9117194547316E-6","5.2320307047417E-6"
"0.45","0.12944413567422","0.87055586432578","2.3515646804898E-6","3.3316576216278E-6","4.3115345658322E-6","5.5323516732485E-6","7.041641010387E-6","8.8939050668623E-6","1.3151282584695E-5"
"0.45","0.12944413567422","0.87055586432578","2.3819233805149E-6","3.2875464747175E-6","4.2701869493459E-6","5.616830683299E-6","7.0317122965623E-6","8.881364660718E-6","1.3290686180093E-5"
"0.45","0.12944413567422","0.87055586432578","2.3567702696167E-6","3.244183736716E-6","4.2396978145276E-6","5.5765580072997E-6","7.0106171596726E-6","8.8547205667359E-6","1.3087072867814E-5"
"0.5","0.15378579486941","0.84621420513059","5.6969695262525E-6","7.3568559792341E-6","9.7642048801145E-6","1.2510115303038E-5","1.5899854231937E-5","2.3053938147092E-5","2.7801050900971E-5"
"0.5","0.15378579486941","0.84621420513059","5.7700616452743E-6","7.3968772757612E-6","9.6602160981413E-6","1.2571164665716E-5","1.5708260988442E-5","2.2776138192419E-5","2.7251980145676E-5"
"0.5","0.15378579486941","0.84621420513059","5.8012199781588E-6","7.3590052641093E-6","9.4872982299846E-6","1.248266366647E-5","1.5894089715935E-5","2.3045579907236E-5","2.7450374561137E-5"
"0.55","0.18174920571425","0.81825079428575","1.2649184035972E-5","1.4935297056971E-5","2.2106073340324E-5","2.8280205287436E-5","3.5890715529202E-5","4.6203968577333E-5","5.9520881960168E-5"
"0.55","0.18174920571425","0.81825079428575","1.2512699340224E-5","1.5130949448418E-5","2.2038870877369E-5","2.8665664485504E-5","3.5370300154029E-5","4.5534011032962E-5","5.9864912657898E-5"
"0.55","0.18174920571425","0.81825079428575","1.2589151933193E-5","1.509796397862E-5","2.199920090979E-5","2.8851991304659E-5","3.519840049528E-5","4.5312715739342E-5","5.9977458693694E-5"
"0.6","0.21420764576833","0.78579235423167","2.8466114651801E-5","3.6591947632203E-5","4.8997755888632E-5","6.5143117613531E-5","8.2553563895141E-5","0.00010382888587273","0.00013364151269345"
"0.6","0.21420764576833","0.78579235423167","2.79184266059E-5","3.7149608914118E-5","4.8829693585934E-5","6.5818651743183E-5","8.3054664027985E-5","0.00010445912720998","0.00013584125199239"
"0.6","0.21420764576833","0.78579235423167","2.8435196682375E-5","3.6614283049666E-5","4.870517786729E-5","6.5303291700034E-5","8.2814636048944E-5","0.00010415724033234","0.00013763163969365"
"0.65","0.25233968299228","0.74766031700772","6.9079095264994E-5","8.5093191307289E-5","0.00010694583473218","0.00014915875636773","0.00018874861348103","0.00023705769457723","0.00031556415523144"
"0.65","0.25233968299228","0.74766031700772","6.9506694864685E-5","8.4908539082152E-5","0.00010708914215072","0.00014816685063789","0.00018778033309388","0.00023584158860405","0.00031328262638911"
"0.65","0.25233968299228","0.74766031700772","6.8143668578388E-5","8.6472554372046E-5","0.0001050565902327","0.0001484483676541","0.00018793619077035","0.00023603733712259","0.00031531896346064"
"0.7","0.2977753606543","0.7022246393457","0.00014743592585153","0.00019638848063711","0.00026180624884784","0.00033342098368434","0.00042130634328762","0.00051839470160248","0.00066811740875052"
"0.7","0.2977753606543","0.7022246393457","0.00014547650239697","0.0001930243459638","0.00026301055759254","0.00033824225110842","0.00042923111560486","0.00051833380593962","0.00067422724660337"
"0.7","0.2977753606543","0.7022246393457","0.00014488586779724","0.00019254371534235","0.00026351027765197","0.00033898300163834","0.00042177966343796","0.00051898833106851","0.00066346435201429"
"0.75","0.35283527741712","0.64716472258288","0.00034565628179319","0.00044694718050844","0.00057302764922594","0.00072867693039688","0.00091940702633009","0.001151479455901","0.0015321227702306"
"0.75","0.35283527741712","0.64716472258288","0.0003431329909361","0.00044107429455656","0.00057156069844392","0.00073389425721852","0.00091398252487474","0.0011446857271112","0.0015300697257185"
"0.75","0.35283527741712","0.64716472258288","0.00034791283349984","0.00044671563478394","0.00057441278632915","0.0007252196270982","0.00091926534386852","0.0011513020106139","0.0015589880435346"
